Curriculum,"Template",,,,,,,,,
Degree Plan,"cs26 max",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MATH 20A","","",,,,4.0,"","",1
2,"MATH 20B","","","1",,,4.0,"","",1
3,"MATH 18","","",,,,4.0,"","",1
4,"MATH 20C","","","2",,,4.0,"","",1
5,"MATH 20D","","","4",,,4.0,"","",2
6,"MATH 20E","","","5;3",,,4.0,"","",2
7,"ECE 109","","","1;2;3;4;5",,,4.0,"","",2
8,"CSE 11","","",,,,4.0,"","",2
9,"CSE 20","","","8",,,4.0,"","",3
13,"MATH 180A","","","4",,,4.0,"","",3
16,"MATH 170A","","","3;4;9",,,4.0,"","",3
17,"MATH 170B","","","16",,,4.0,"","",3
18,"MATH 170C","","","17;5",,,4.0,"","",4
31,"CSE 12","","","8",,,4.0,"","",4
32,"CSE 21","","","9",,,4.0,"","",4
33,"CSE 29","","","8",,,4.0,"","",4
34,"CSE 30","","","33",,,4.0,"","",5
45,"BILD 1","","",,,,4.0,"","",5
46,"CSE 180","","","45;8",,,4.0,"","",5
68,"COGS 17","","",,,,4.0,"","",5
69,"COGS 107A","","","68",,,4.0,"","",6
70,"COGS 107B","","","69",,,4.0,"","",6
79,"CSE 100","","","32;33",,,4.0,"","",6
80,"CSE 101","","","32;31",,,4.0,"","",6
81,"CSE 110","","","79",,,4.0,"","",7
82,"CSE 120","","","33;34;79;80",,,4.0,"","",7
83,"CSE 121","","","82",,,4.0,"","",7
90,"CSE 140","","","9;34",,,4.0,"","",7
91,"CSE 140L","","","9;34",,,4.0,"","",8
92,"CSE 141","","","34;90;91",,,4.0,"","",8
93,"CSE 141L","","","34;90;91",,,4.0,"","",8
99,"CSE 148","","","92;93",,,4.0,"","",8
112,"CSE 105","","","31;9;32",,,4.0,"","",9
115,"CSE 130","","","31;79;112",,,4.0,"","",9
122,"CSE 131","","","34;79;112;115",,,4.0,"","",9
127,"CSE 150B","","","31;33;7;79",,,4.0,"","",9
145,"CSE 181","","","79;80",,,4.0,"","",10
146,"CSE 182","","","79",,,4.0,"","",10
147,"CSE 184","","","145;146",,,4.0,"","",10
154,"COGS 108","","","8",,,4.0,"","",10
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
