Curriculum,Computer Science,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CSE 11,CSE,8A,,,,4,,
4,MATH 20B,MATH,20B,1,,,4,,
5,CSE 29,CSE,29,2,,,4,,
6,MATH 20C,MATH,20C,4,,,4,,
7,CSE 20,CSE,20,2,,,4,,
8,CSE 12,CSE,12,2,,,4,,
9,CSE 21,CSE,21,7,,,4,,
10,CSE 30,CSE,30,5,,,4,,
11,CSE 100,CSE,100,9;8;5,,,4,,
12,MATH 18,MATH,18,,,,4,,
13,CSE 110,CSE,110,11,,,4,,
14,CSE 101,CSE,101,9;8,,,4,,
