Curriculum,"Template",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,"MATH 20A","","",,,,4.0,"",""
2,"MATH 20B","","","1",,,4.0,"",""
3,"MATH 18","","",,,,4.0,"",""
4,"MATH 20C","","","2",,,4.0,"",""
5,"MATH 20D","","","4",,,4.0,"",""
6,"MATH 20E","","","5;3",,,4.0,"",""
7,"ECE 109","","","1;2;3;4;5",,,4.0,"",""
8,"CSE 8A","","",,,,4.0,"",""
9,"CSE 8B","","","8",,,4.0,"",""
11,"CSE 20","","","9",,,4.0,"",""
15,"MATH 180A","","","4",,,4.0,"",""
18,"MATH 170A","","","3;4;11",,,4.0,"",""
19,"MATH 170B","","","18",,,4.0,"",""
20,"MATH 170C","","","19;5",,,4.0,"",""
31,"CSE 12","","","9",,,4.0,"",""
32,"CSE 21","","","11",,,4.0,"",""
33,"CSE 29","","","9",,,4.0,"",""
34,"CSE 30","","","33",,,4.0,"",""
68,"COGS 17","","",,,,4.0,"",""
69,"COGS 107A","","","68",,,4.0,"",""
70,"COGS 107B","","","69",,,4.0,"",""
79,"CSE 100","","","32;33",,,4.0,"",""
80,"CSE 101","","","32;31",,,4.0,"",""
81,"CSE 110","","","79",,,4.0,"",""
82,"CSE 120","","","33;34;79;80",,,4.0,"",""
83,"CSE 121","","","82",,,4.0,"",""
90,"CSE 140","","","11;34",,,4.0,"",""
91,"CSE 140L","","","11;34",,,4.0,"",""
92,"CSE 141","","","34;90;91",,,4.0,"",""
93,"CSE 141L","","","34;90;91",,,4.0,"",""
99,"CSE 148","","","92;93",,,4.0,"",""
101,"DSC 10","","",,,,4.0,"",""
102,"DSC 20","","","101",,,4.0,"",""
103,"DSC 30","","","102",,,4.0,"",""
104,"DSC 40A","","","101;4;3",,,4.0,"",""
105,"DSC 40B","","","102;104",,,4.0,"",""
106,"DSC 80","","","103;104",,,4.0,"",""
107,"DSC 100","","","105;106",,,4.0,"",""
108,"DSC 102","","","107",,,4.0,"",""
112,"CSE 105","","","31;11;32",,,4.0,"",""
115,"CSE 130","","","31;79;112",,,4.0,"",""
117,"DSC 120","","","3;4;106",,,4.0,"",""
122,"CSE 131","","","34;79;112;115",,,4.0,"",""
145,"CSE 181","","","79;80",,,4.0,"",""
146,"CSE 182","","","79",,,4.0,"",""
147,"CSE 184","","","145;146",,,4.0,"",""
154,"COGS 108","","","9",,,4.0,"",""
156,"COGS 118A","","","9;3;6;15;154",,,4.0,"",""
168,"COGS 181","","","9;3;6;15;156",,,4.0,"",""
